Drink,Ingredient,Amount,IngredientUse,Glass
212,Partida Reposado Tequila,2oz,Build,Collins glass
212,Ruby Red Grapefruit Juice,2oz,Build,Collins glass
212,Aperol,1oz,Build,Collins glass
212,Orange Twist,1,Garnish,Collins glass
#3 Cup,Mint Leaf,4,Muddle,Collins glass
#3 Cup,Cucumber Slice,2,Muddle,Collins glass
#3 Cup,Orange Slice,2,Muddle,Collins glass
#3 Cup,Hine V.S.O.P. Cognac,1oz,Build,Collins glass
#3 Cup,House Ginger Beer,1oz,Build,Collins glass
#3 Cup,Mint Sprig,1,Garnish,Collins glass
#3 Cup,Martini Sweet Vermouth,.75oz,Build,Collins glass
#3 Cup,Cherry Heering,.5oz,Build,Collins glass
#3 Cup,Lemon Juice,.5oz,Build,Collins glass
#3 Cup,Marie Brizard Orange Curacao,.5oz,Build,Collins glass
#8,Don Julio Reposado Tequila,2oz,Build,Coupe
#8,House Orange Bitters,2dashes,Build,Coupe
#8,Lemon Twist,1,Garnish,Coupe
#8,Lustau Palo Cortado Sherry,.75oz,Build,Coupe
#8,Barenjager Honey Liqueur,.5oz,Build,Coupe
100 Year Punch,Fee Brothers Old Fashion Bitters,2dashes,Build,Rocks
100 Year Punch,"Bek Se Ju ""100-year wine""",1oz,Build,Rocks
100 Year Punch,Elijah Craig 12-Year-Old Bourbon,1oz,Build,Rocks
100 Year Punch,Q Tonic,1oz,Top,Rocks
100 Year Punch,Pinch Grated Nutmeg,1,Garnish,Rocks
100 Year Punch,Tangerine Zest,1,Garnish,Rocks
100 Year Punch,Ssal-Yut Rice Syrup,.25oz,Build,Rocks
20th Century,Plymouth Gin,1.5oz,Build,Coupe
20th Century,Lemon Juice,.75oz,Build,Coupe
20th Century,Lillet Blanc,.75oz,Build,Coupe
20th Century,Marie Brizard White Creme de Cacao,.75oz,Build,Coupe
21st Century,Siete Leguas Blanco Tequila,2oz,Build,Coupe
21st Century,Lemon Juice,.75oz,Build,Coupe
21st Century,Marie Brizard White Creme de Cacao,.75oz,Build,Coupe
21st Century,Pernod,,Rinse,Coupe
Absinthe Drip,Ice-Cold Filtered Water,4.5-6oz,Build,Absinthe
Absinthe Drip,Vieux Pontarlier Absinthe,1.5oz,Build,Absinthe
Absinthe Drip,Sugar Cube,1,Build,Absinthe
Against All Odds Cocktail,Bushmills Irish Whiskey,1.5oz,Build,Coupe
Against All Odds Cocktail,Channing Daughters Scuttlehole Chardonnay,1.5oz,Build,Coupe
Against All Odds Cocktail,Pansy Flower,1,Garnish,Coupe
Against All Odds Cocktail,Rothman & Winter Orchard Apricot,.5oz,Build,Coupe
Against All Odds Cocktail,Rhum Clement Creole Shrubb,.25oz,Build,Coupe
Against All Odds Cocktail,Illegal Reposado Mezcal,,Rinse,Coupe
Aguila Azteca,Honeydew Melon Juice,1oz,Build,Coupe
Aguila Azteca,Jose Cuervo Tradicional Tequila,1.5oz,Build,Coupe
Aguila Azteca,Canton Ginger Liqueur,.25oz,Build,Coupe
Aguila Azteca,Rothman & Winter Creme de Violette,.25oz,Build,Coupe
Airmail,Banks 5 Island Rum,1oz,Build,Coupe
Airmail,Moet Imperial Champagne,1oz,Top,Coupe
Airmail,Lime Wheel,1,Garnish,Coupe
Airmail,Honey Syrup,.5oz,Build,Coupe
Airmail,Lime Juice,.5oz,Build,Coupe
Albert Mathieu,Regan's Orange Bitters,1dash,Build,Coupe
Albert Mathieu,St. Germain Elderflower Liqueur,1barspoon,Build,Coupe
Albert Mathieu,Plymouth Gin,1.5oz,Build,Coupe
Albert Mathieu,Orange Twist,1,Garnish,Coupe
Albert Mathieu,Green Chartreuse,.75oz,Build,Coupe
Albert Mathieu,Lillet Blanc,.75oz,Build,Coupe
Algonquin,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Algonquin,Dolin Dry Vermouth,.75oz,Build,Coupe
Algonquin,Pineapple Juice,.75oz,Build,Coupe
Americano Highball,Club Soda,2.5oz,Top,Collins
Americano Highball,Campari,1.5oz,Build,Collins
Americano Highball,Carpano Antica Sweet Vermouth,1.5oz,Build,Collins
Americano Highball,Half an Orange Wheel,1,Garnish,Collins
Aperol Spritz,Aperol,2oz,Build,Rocks
Aperol Spritz,Carpene Malvolti Prosecco,1oz,Build,Rocks
Aperol Spritz,Club Soda,1oz,Build,Rocks
Aperol Spritz,Half an Orange Wheel,1,Garnish,Rocks
Aperol Spritz,Orange Juice,.5oz,Build,Rocks
Apple Daiquiri,Flor de Cana Silver Dry Rum,2oz,Build,Coupe
Apple Daiquiri,Lime Juice,.75oz,Build,Coupe
Apple Daiquiri,Schonauer Apfel Schnapps,.5oz,Build,Coupe
Apple Daiquiri,Simple Syrup,.25oz,Build,Coupe
Apple Malt Toddy,Red Jacket Orchards Apple Cider,2oz,Build,Mug
Apple Malt Toddy,Drouhin Pommeau,1oz,Build,Mug
Apple Malt Toddy,Deep Mountain Grade B Maple Syrup,1barspoon,Build,Mug
Apple Malt Toddy,Chivas Regal 12-Year-Old Blended Scotch Whiskey,1.5oz,Build,Mug
Apple Malt Toddy,Cinnamon Stick,1,Garnish,Mug
Apple Malt Toddy,St. Elizabeth Allspice Dram,.25oz,Build,Mug
Applejack Rabbit,Laird's Bonded Apple Brandy,2oz,Build,Coupe
Applejack Rabbit,Lemon Juice,.75oz,Build,Coupe
Applejack Rabbit,Orange Juice,.75oz,Build,Coupe
Applejack Rabbit,Deep Mountain Grade B Maple Syrup,.5oz,Build,Coupe
Apricot Flip,Hine V.S.O.P. Cognac,2oz,Build,Fizz
Apricot Flip,Pinch Grated Nutmeg,1,Garnish,Fizz
Apricot Flip,Whole Egg,1,Build,Fizz
Apricot Flip,Rothman & Winter Orchard Apricot,.75oz,Build,Fizz
Apricot Flip,Simple Syrup,.5oz,Build,Fizz
Archangel,Plymouth Gin,2.25oz,Build,Coupe
