Ingredient,PDT Cocktail,,Notes
,Name,Page,
Absinthe,Absinthe Drip,46,Vieux Pontarlier
,Black Thorn (Irish),70,"rinse, St. George"
,Chrysanthemum,89,Vieux Pontarlier
,Corpse Reviver No.2,97,"rinse, Vieux Pontarlier"
,De la Louisiane,103,St. George
,El Burro,115,Vieux Pontarlier
,Golden Star Fizz,134,"rinse, St. George"
,Green Deacon,136,"rinse, St. George"
,Improved Whiskey Cocktail,149,"rinse, Vieux Pontarlier"
,Judgment Day,152,"rinse, Pernod"
,Monkey Gland,182,"rinse, Vieux Pontarlier"
,Paddington,199,"rinse, St. George"
,Primavera,211,"rinse, St. George"
,Rapscallion,215,"rinse, St. George"
,Rattlesnake,216,"rinse, Vieux Pontarlier"
,Sazerac,234,"rinse, Vieux Pontarlier"
,Shiso Malt Sour,236,Vieux Pontarlier
,Staggerac,245,"rinse, Edouard"
,Swiss Mist,248,"spritz, Kubler"
,Swollen Gland,249,"rinse, Vieux Pontarlier"
,Tuxedo,257,"rinse, Vieux Pontarlier"
,Zombie Punch,271,Vieux Pontarlier
Allspice Dram,El Molino,116,St. Elizabeth
,Girl From Jerez,133,St. Elizabeth
,Judgment Day,152,St. Elizabeth
,Remember Maine,219,St. Elizabeth
Amaro Ciociaro,Bizet,66,
,Donizetti,107,
,Lacrimosa,157,
,Triborough,253,
Amer Picon,Brooklyn,78,Jamie Boudreau's replica
Aperol,212,43,
,Aperol Spritz,51,
,Archangel,56,
,Cuzco,101,
,Dewey D.,105,
,Eclipse Cocktail,113,
,Foreign Legion,124,
,May Day,176,
,Melon Stand,176,
,South Slope,244,
Apricot Liqueur,Against All Odds,46,Rothman & Winter
,Apricot Flip,53,Rothman & Winter
,Beachbum,57,Rothman & Winter
,Bubbaloo,81,Rothman & Winter
,Donizetti,107,Rothman & Winter
,Hotel Nacional Special,146,Rothman & Winter
,Leapfrog,163,Rothman & Winter
,White Birch Fizz,265,Rothman & Winter
Averna Amaro,Gilchrist,130,
Aquavit,Blackbeard,67,Krogstad
,Golden Star Fizz,134,Krogstad
,Occidental,195,Linie
,Primavera,211,Krogstad
,Silk Road,238,"black seasame-infused, Krogstad"
,Trident,253,Krogstad
Bärenjäger Honey Liqueur,#8,42,
,Bee's Sip,60,
,King Bee,155,
Batavia Arrack,Henry Hudson,143,van Oosten
,Rack & Rye,214,van Oosten
"Beer, Pilsner",Beer and Smoke,58,Victory
"Beer, Pumpkin",Great Pumpkin,136,Southampton
"Beer, Stout",Black Flip,67,Brooklyn Black Chocolate
"Beer, Raspberry",Frambroise Fizz,124,Oud Beersel Frambroise
"Beer, White",Newfangled,190,Southampton
Bénédictine,Bobby Burns,74,
,Caprice,84,
,Chrysanthemum,89,
,Condiment Cocktail,94,
,De la Louisiane,103,
,Frisco,129,
,Harvest Sling,140,
,Honeymoon Cocktail,143,
,Hotel d'Alsace,146,
,Junior,154,
,King Bee,155,
,L.E.S. Globetrotter,167,
,Montgomery Smith,182,
,Nouveau Carré,193,
,Singapore Sling,241,
,T&T,256,
,Vieux Carré,262,
,Widow's Kiss,268,
,Woolworth,270,
"Bitters, Abbott's",Harvest Moon,139,
"Bitters, Angostura",Benton's Old-Fashioned,62,
,Betsy Ross,64,
,Black Thorn (Irish),70,
,Chamagne Cocktail,86,
,Champs Élysées,87,
,Chien Chaud,89,
,Dewey D.,105,
,Figetaboutit,120,
,Greenpoint,138,
,Improved Whiskey Cocktail,149,
,Japanese Cocktail,151,
,Jimmie Roosevelt,151,
,Junior,154,
,Little Bit Country,167,
,Luau,168,
,Manhattan,171,
,Newfangled,190,
,Nouveau Sangaree,193,
,Old-Fashioned Whiskey Cocktail,195,
,Pisco Sour,209,
,Prince of Wales,212,
,Pumpkin Toddy,212,
,Professor,213,
,Queens Park Swizzle,214,
,Rack & Rye,214,
,Remember Maine,219,
,Reverend Palmer,223,
,Rhum Club,224,
,Rob Roy,228,
,Rosita,229,
,Rust Belt,230,
,Sazerac,234,
,Seelbach Cocktail,234,
,Silk Road,238,
,Singapore Sling,241,
,Smoky Grove,243,
,Staggerac,245,
,Triborough,253,
,T&T,256,
,Up to Date,258,
,Vieux Carré,262,
,Widow's Kiss,268,
,Zombie Punch,271,
"Bitters, Boker's",Martinez,173,Dr. Adam Elmegirab's
"Bitters, Celery",Beer and Smoke,58,Bitter Truth
,Condiment Cocktail,94,Bitter Truth
,Ephemeral,117,Bitter Truth
"Bitters, Barrel-Aged",Nigori Milk Punch,191,Feldman's
"Bitters, Jerry Thomas",Johnny Apple Collins,152,Bitter Truth
"Bitters, Lemon",Dry County Cocktail,107,Bitter Truth
,Kina Miele,155,Bitter Truth
,Tao of Pooh,250,Bitter Truth
,Vaccari,259,Bitter Truth
"Bitters, Old Fashion",100 Year Punch,45,Fee Brothers
"Bitters, Orange",Albert Mathieu,49,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Astoria Bianca,56,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Bijou,66,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Blackthorn (English),70,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Caprice,84,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Cavalier,86,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Chrysanthemum,89,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Conquistador,96,Housemade (50/50 Fee Brothers/Regan's No. 6)
,East India Company,111,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Leapfrog,163,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Little Bit Country,167,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Norman Inversion,192,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Opera Cocktail,198,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Paddy Wallbanger,199,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Prince Edward,211,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Professor,213,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Rack & Rye,214,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Rhum Club,224,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Rye Witch,232,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Shaddock Rose,235,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Smoky Grove,243,Housemade (50/50 Fee Brothers/Regan's No. 6)
